DeviceId	PenId	TargetIndex	TrackingId	TrackingIdPerPen	Cube	Objective	View	Label	IsSelected	PerimeterMicrons	AreaMicrons	DiameterMicrons	Circularity	MajorAxisMicrons	MinorAxisMicrons	MedianBrightness	MeanBrightness	MaxBrightness	MinBrightness	BackgroundAreaMicrons	MedianBackgroundBrightness	MeanBackgroundBrightness	MaxBackgroundBrightness	MinBackgroundBrightness	CentroidXPixels	CentroidYPixels	CentroidXMicrons	CentroidYMicrons	CentroidXMicronsPenRelative	CentroidYMicronsPenRelative	GatePath	FluidChannelNumber	TimeLapseIndex	Timestamp	CellCount	CellsInPen	TargetsInPen
D69353	4	0	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	31.5	64.3	9.1	0.82	2.91	2.78	60672	58195	65535	42443	7831.9	47318	47575	53157	42999	195.5	283.5	-6035.7	3113.4	4.3	-211.6	Root	1	1	01:10.7	1	1	1
D69353	4	0	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	31.5	64.3	9.1	0.82	2.91	2.78	2533	2661	2990	2414	7803	2551	2557	2862	2332	195.5	283.5	-6035.7	3113.4	4.3	-211.6	Root	1	1	01:10.7	1	1	1
D69353	4	0	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	31.5	64.3	9.1	0.82	2.91	2.78	1097	1181	1654	677	7839.8	578	585	735	504	195.5	283.5	-6035.7	3113.4	4.3	-211.6	Root	1	1	01:10.7	1	1	1
D69353	4	0	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	31.5	64.3	9.1	0.82	2.91	2.78	1024	1100	1198	1030	7803	1051	1053	1204	926	195.5	283.5	-6035.7	3113.4	4.3	-211.6	Root	1	1	01:10.7	1	1	1
D69353	5	1	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	20.8	28.9	6.1	0.84	2.19	1.65	60544	58140	65535	48717	7916	47570	47852	54361	43048	244	290.4	-5957	3102	3	-223	Root	1	1	01:10.7	1	1	1
D69353	5	1	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	20.8	28.9	6.1	0.84	2.19	1.65	2725	2856	2986	2644	7766.3	2546	2552	2881	2302	244	290.4	-5957	3102	3	-223	Root	1	1	01:10.7	1	1	1
D69353	5	1	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	20.8	28.9	6.1	0.84	2.19	1.65	512	588	642	533	7797.8	578	586	829	483	244	290.4	-5957	3102	3	-223	Root	1	1	01:10.7	1	1	1
D69353	5	1	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	20.8	28.9	6.1	0.84	2.19	1.65	1088	1243	1365	1121	7803	1038	1040	1202	910	244	290.4	-5957	3102	3	-223	Root	1	1	01:10.7	1	1	1
D69353	10	2	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	30.5	63	9	0.85	2.94	2.67	60416	58609	65535	41604	7947.5	47796	48160	57926	42334	491.5	282.5	-5555.9	3113.3	4.1	-211.7	Root	1	1	01:10.7	1	1	1
D69353	10	2	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	30.5	63	9	0.85	2.94	2.67	2731	2850	3347	2496	7692.7	2525	2534	2813	2306	491.5	282.5	-5555.9	3113.3	4.1	-211.7	Root	1	1	01:10.7	1	1	1
D69353	10	2	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	30.5	63	9	0.85	2.94	2.67	960	1083	1437	741	7729.5	582	590	815	499	491.5	282.5	-5555.9	3113.3	4.1	-211.7	Root	1	1	01:10.7	1	1	1
D69353	10	2	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	30.5	63	9	0.85	2.94	2.67	974	1080	1198	969	7692.7	990	993	1153	875	491.5	282.5	-5555.9	3113.3	4.1	-211.7	Root	1	1	01:10.7	1	1	1
D69353	11	3	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	27	47.3	7.8	0.84	2.71	2.24	64384	59119	65535	43377	7813.5	47692	48186	58160	42144	540.7	282	-5476.2	3113.8	3.8	-211.2	Root	1	1	01:10.7	1	1	1
D69353	11	3	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	27	47.3	7.8	0.84	2.71	2.24	3755	3778	4483	3095	7729.5	2525	2529	2822	2317	540.7	282	-5476.2	3113.8	3.8	-211.2	Root	1	1	01:10.7	1	1	1
D69353	11	3	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	27	47.3	7.8	0.84	2.71	2.24	1408	1476	1997	948	7726.9	581	590	879	475	540.7	282	-5476.2	3113.8	3.8	-211.2	Root	1	1	01:10.7	1	1	1
D69353	11	3	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	27	47.3	7.8	0.84	2.71	2.24	1792	1915	2291	1447	7726.9	981	985	1179	878	540.7	282	-5476.2	3113.8	3.8	-211.2	Root	1	1	01:10.7	1	1	1
D69353	12	4	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	27.8	47.3	7.8	0.85	2.63	2.48	56320	56726	65535	39956	7800.4	47621	48061	58232	41898	590.3	283.3	-5395.8	3111.4	4.2	-213.6	Root	1	1	01:10.7	1	1	1
D69353	12	4	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	27.8	47.3	7.8	0.85	2.63	2.48	2596	2728	3022	2492	7910.7	2518	2524	2834	2270	590.3	283.3	-5395.8	3111.4	4.2	-213.6	Root	1	1	01:10.7	1	1	1
D69353	12	4	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	27.8	47.3	7.8	0.85	2.63	2.48	1088	1188	1538	820	7905.5	581	592	881	488	590.3	283.3	-5395.8	3111.4	4.2	-213.6	Root	1	1	01:10.7	1	1	1
D69353	12	4	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	27.8	47.3	7.8	0.85	2.63	2.48	869	1021	1108	939	7905.5	973	980	1166	870	590.3	283.3	-5395.8	3111.4	4.2	-213.6	Root	1	1	01:10.7	1	1	1
D69353	13	5	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	41.9	107.7	11.7	0.84	4.92	2.92	57728	56794	65535	45034	7687.5	47777	48365	59204	41651	631.7	318.8	-5328.9	3053.6	-8.9	-271.4	Root	1	1	01:10.7	1	1	1
D69353	13	5	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	41.9	107.7	11.7	0.84	4.92	2.92	3362	3527	4139	2998	7621.8	2517	2517	2780	2307	631.7	318.8	-5328.9	3053.6	-8.9	-271.4	Root	1	1	01:10.7	1	1	1
