DeviceId	PenId	TargetIndex	TrackingId	TrackingIdPerPen	Cube	Objective	View	Label	IsSelected	PerimeterMicrons	AreaMicrons	DiameterMicrons	Circularity	MajorAxisMicrons	MinorAxisMicrons	MedianBrightness	MeanBrightness	MaxBrightness	MinBrightness	BackgroundAreaMicrons	MedianBackgroundBrightness	MeanBackgroundBrightness	MaxBackgroundBrightness	MinBackgroundBrightness	CentroidXPixels	CentroidYPixels	CentroidXMicrons	CentroidYMicrons	CentroidXMicronsPenRelative	CentroidYMicronsPenRelative	GatePath	FluidChannelNumber	TimeLapseIndex	Timestamp	CellCount	CellsInPen	TargetsInPen
D69353	4	0	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	33.5	77.5	9.9	0.91	3.29	3.04	57728	56832	65535	39896	7703.2	49353	49601	55347	44893	190.1	282.2	-6044.1	3114.6	-4.1	-210.4	Root	1	2	01:09.6	1	1	1
D69353	4	0	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	33.5	77.5	9.9	0.91	3.29	3.04	2670	2823	3239	2464	7887.1	2487	2491	2815	2238	190.1	282.2	-6044.1	3114.6	-4.1	-210.4	Root	1	2	01:09.6	1	1	1
D69353	4	0	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	33.5	77.5	9.9	0.91	3.29	3.04	1042	1159	1732	663	7897.6	560	568	734	487	190.1	282.2	-6044.1	3114.6	-4.1	-210.4	Root	1	2	01:09.6	1	1	1
D69353	4	0	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	33.5	77.5	9.9	0.91	3.29	3.04	1029	1117	1309	1009	7887.1	1035	1037	1222	915	190.1	282.2	-6044.1	3114.6	-4.1	-210.4	Root	1	2	01:09.6	1	1	1
D69353	5	1	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	21.7	30.2	6.2	0.8	2.26	1.68	61568	58031	65535	45201	7971.1	49560	49850	55903	44979	244.4	295.1	-5956.1	3093.4	3.9	-231.6	Root	1	2	01:09.6	1	1	1
D69353	5	1	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	21.7	30.2	6.2	0.8	2.26	1.68	2603	2777	2926	2618	7779.4	2480	2487	2770	2257	244.4	295.1	-5956.1	3093.4	3.9	-231.6	Root	1	2	01:09.6	1	1	1
D69353	5	1	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	21.7	30.2	6.2	0.8	2.26	1.68	512	581	614	532	7816.2	558	565	816	471	244.4	295.1	-5956.1	3093.4	3.9	-231.6	Root	1	2	01:09.6	1	1	1
D69353	5	1	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	21.7	30.2	6.2	0.8	2.26	1.68	1050	1227	1297	1137	7816.2	1024	1026	1183	920	244.4	295.1	-5956.1	3093.4	3.9	-231.6	Root	1	2	01:09.6	1	1	1
D69353	10	2	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	33.4	74.9	9.8	0.9	3.32	2.99	58624	56971	65535	38210	7782	49736	50168	60036	44030	491.2	281.2	-5556.1	3114.4	3.9	-210.6	Root	1	2	01:09.6	1	1	1
D69353	10	2	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	33.4	74.9	9.8	0.9	3.32	2.99	2726	2938	3581	2376	7640.2	2450	2460	2748	2284	491.2	281.2	-5556.1	3114.4	3.9	-210.6	Root	1	2	01:09.6	1	1	1
