DeviceId	PenId	TargetIndex	TrackingId	TrackingIdPerPen	Cube	Objective	View	Label	IsSelected	PerimeterMicrons	AreaMicrons	DiameterMicrons	Circularity	MajorAxisMicrons	MinorAxisMicrons	MedianBrightness	MeanBrightness	MaxBrightness	MinBrightness	BackgroundAreaMicrons	MedianBackgroundBrightness	MeanBackgroundBrightness	MaxBackgroundBrightness	MinBackgroundBrightness	CentroidXPixels	CentroidYPixels	CentroidXMicrons	CentroidYMicrons	CentroidXMicronsPenRelative	CentroidYMicronsPenRelative	GatePath	FluidChannelNumber	TimeLapseIndex	Timestamp	CellCount	CellsInPen	TargetsInPen
D69353	4	0	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	29.3	59.1	8.7	0.89	2.76	2.71	57600	56630	65535	41922	7768.9	46021	46279	52128	41513	195.6	284.4	-6036.4	3114.5	3.6	-210.5	Root	1	0	01:11.0	1	1	1
D69353	4	0	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	29.3	59.1	8.7	0.89	2.76	2.71	2784	2919	3235	2716	7690.1	2807	2799	3171	2406	195.6	284.4	-6036.4	3114.5	3.6	-210.5	Root	1	0	01:11.0	1	1	1
D69353	4	0	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	29.3	59.1	8.7	0.89	2.76	2.71	1024	1128	1462	812	7703.2	630	635	818	542	195.6	284.4	-6036.4	3114.5	3.6	-210.5	Root	1	0	01:11.0	1	1	1
D69353	4	0	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	29.3	59.1	8.7	0.89	2.76	2.71	1024	1160	1261	1065	7690.1	1078	1081	1214	955	195.6	284.4	-6036.4	3114.5	3.6	-210.5	Root	1	0	01:11.0	1	1	1
D69353	5	1	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	21.6	31.5	6.3	0.92	2.05	2.04	54400	53388	65535	40253	7926.5	46205	46522	53404	41963	246	284.9	-5954.7	3113.4	5.3	-211.6	Root	1	0	01:11.0	1	1	1
D69353	5	1	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	21.6	31.5	6.3	0.92	2.05	2.04	2944	3065	3243	2861	7989.5	2803	2788	3109	2345	246	284.9	-5954.7	3113.4	5.3	-211.6	Root	1	0	01:11.0	1	1	1
D69353	5	1	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	21.6	31.5	6.3	0.92	2.05	2.04	512	663	725	604	7965.9	634	639	795	541	246	284.9	-5954.7	3113.4	5.3	-211.6	Root	1	0	01:11.0	1	1	1
D69353	5	1	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	21.6	31.5	6.3	0.92	2.05	2.04	1095	1238	1365	1136	7965.9	1068	1071	1227	973	246	284.9	-5954.7	3113.4	5.3	-211.6	Root	1	0	01:11.0	1	1	1
D69353	10	2	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	28.9	53.8	8.3	0.87	2.81	2.54	59712	58742	65535	41742	7792.5	46360	46780	56557	40941	492.5	283.7	-5555.3	3113.8	4.7	-211.2	Root	1	0	01:11.0	1	1	1
D69353	10	2	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	28.9	53.8	8.3	0.87	2.81	2.54	2976	3180	3685	2790	7761	2771	2765	3071	2382	492.5	283.7	-5555.3	3113.8	4.7	-211.2	Root	1	0	01:11.0	1	1	1
D69353	10	2	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	28.9	53.8	8.3	0.87	2.81	2.54	985	1120	1323	895	7729.5	635	644	899	539	492.5	283.7	-5555.3	3113.8	4.7	-211.2	Root	1	0	01:11.0	1	1	1
D69353	10	2	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	28.9	53.8	8.3	0.87	2.81	2.54	1018	1135	1243	1023	7732.1	1019	1023	1201	912	492.5	283.7	-5555.3	3113.8	4.7	-211.2	Root	1	0	01:11.0	1	1	1
D69353	11	3	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	27.3	51.2	8.1	0.91	2.68	2.46	60544	57098	65535	40521	7931.7	46366	46886	57176	40803	541.7	283.6	-5475.5	3113.7	4.5	-211.3	Root	1	0	01:11.0	1	1	1
D69353	11	3	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	27.3	51.2	8.1	0.91	2.68	2.46	6272	6152	9497	3475	7826.7	2804	2797	3131	2448	541.7	283.6	-5475.5	3113.7	4.5	-211.3	Root	1	0	01:11.0	1	1	1
D69353	11	3	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	27.3	51.2	8.1	0.91	2.68	2.46	699	803	932	646	7824	634	640	871	526	541.7	283.6	-5475.5	3113.7	4.5	-211.3	Root	1	0	01:11.0	1	1	1
D69353	11	3	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	27.3	51.2	8.1	0.91	2.68	2.46	3584	3566	6136	1480	7824	1018	1021	1181	918	541.7	283.6	-5475.5	3113.7	4.5	-211.3	Root	1	0	01:11.0	1	1	1
D69353	12	4	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	28	52.5	8.2	0.88	2.69	2.56	60416	57267	65535	37781	7708.5	46181	46727	57662	40421	590.8	283.4	-5396	3113.8	4	-211.2	Root	1	0	01:11.0	1	1	1
D69353	12	4	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	28	52.5	8.2	0.88	2.69	2.56	2656	2864	3231	2722	7690.1	2785	2779	3118	2448	590.8	283.4	-5396	3113.8	4	-211.2	Root	1	0	01:11.0	1	1	1
D69353	12	4	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	28	52.5	8.2	0.88	2.69	2.56	1045	1142	1524	762	7726.9	634	641	988	526	590.8	283.4	-5396	3113.8	4	-211.2	Root	1	0	01:11.0	1	1	1
D69353	12	4	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	28	52.5	8.2	0.88	2.69	2.56	1003	1063	1134	983	7726.9	1006	1010	1221	912	590.8	283.4	-5396	3113.8	4	-211.2	Root	1	0	01:11.0	1	1	1
D69353	13	5	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	37.5	94.6	11	0.9	3.79	3.28	56640	55405	65535	36591	7740	46511	46978	57609	40034	634.5	282	-5325	3115.7	-5	-209.3	Root	1	0	01:11.0	1	1	1
D69353	13	5	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	37.5	94.6	11	0.9	3.79	3.28	3677	3863	4892	3096	7858.2	2783	2774	3077	2379	634.5	282	-5325	3115.7	-5	-209.3	Root	1	0	01:11.0	1	1	1
D69353	13	5	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	37.5	94.6	11	0.9	3.79	3.28	559	735	806	628	7845.1	633	645	956	556	634.5	282	-5325	3115.7	-5	-209.3	Root	1	0	01:11.0	1	1	1
D69353	13	5	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	37.5	94.6	11	0.9	3.79	3.28	1609	1732	2481	1195	7855.6	1000	1004	1187	899	634.5	282	-5325	3115.7	-5	-209.3	Root	1	0	01:11.0	1	1	1
