DeviceId	PenId	TargetIndex	TrackingId	TrackingIdPerPen	Cube	Objective	View	Label	IsSelected	PerimeterMicrons	AreaMicrons	DiameterMicrons	Circularity	MajorAxisMicrons	MinorAxisMicrons	MedianBrightness	MeanBrightness	MaxBrightness	MinBrightness	BackgroundAreaMicrons	MedianBackgroundBrightness	MeanBackgroundBrightness	MaxBackgroundBrightness	MinBackgroundBrightness	CentroidXPixels	CentroidYPixels	CentroidXMicrons	CentroidYMicrons	CentroidXMicronsPenRelative	CentroidYMicronsPenRelative	GatePath	FluidChannelNumber	TimeLapseIndex	Timestamp	CellCount	CellsInPen	TargetsInPen
D69353	11	4	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	33.3	77.5	9.9	0.92	3.26	3.06	2368	2557	3047	2326	7684.8	2388	2394	2692	2211	541.1	291.8	-5475.1	3094.3	4.9	-230.7	Root	1	3	01:08.9	1	1	1
D69353	11	4	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	33.3	77.5	9.9	0.92	3.26	3.06	1690	1864	2896	984	7684.8	547	553	749	441	541.1	291.8	-5475.1	3094.3	4.9	-230.7	Root	1	3	01:08.9	1	1	1
D69353	11	4	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	33.3	77.5	9.9	0.92	3.26	3.06	851	1021	1144	935	7682.2	945	947	1101	841	541.1	291.8	-5475.1	3094.3	4.9	-230.7	Root	1	3	01:08.9	1	1	1
D69353	12	5	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	30.5	64.3	9.1	0.9	3.07	2.68	60160	57776	65535	41452	6098.5	48532	48980	59363	42961	584.2	347.6	-5405.6	3003.8	-5.6	-321.2	Root	1	3	01:08.9	1	1	1
D69353	12	5	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	30.5	64.3	9.1	0.9	3.07	2.68	2336	2489	2988	2322	6229.8	2390	2399	2710	2191	584.2	347.6	-5405.6	3003.8	-5.6	-321.2	Root	1	3	01:08.9	1	1	1
D69353	12	5	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	30.5	64.3	9.1	0.9	3.07	2.68	1536	1595	2250	789	6195.7	546	557	855	453	584.2	347.6	-5405.6	3003.8	-5.6	-321.2	Root	1	3	01:08.9	1	1	1
D69353	12	5	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	30.5	64.3	9.1	0.9	3.07	2.68	800	966	1137	882	6198.3	935	939	1119	826	584.2	347.6	-5405.6	3003.8	-5.6	-321.2	Root	1	3	01:08.9	1	1	1
D69353	13	6	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	40.3	111.6	11.9	0.87	4.34	3.2	58944	56625	65535	39176	6728.8	48823	49245	59490	42864	634.9	334.1	-5323.3	3025.4	-3.3	-299.6	Root	1	3	01:08.9	1	1	1
D69353	13	6	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	40.3	111.6	11.9	0.87	4.34	3.2	3290	3495	4226	2895	6707.8	2387	2390	2674	2126	634.9	334.1	-5323.3	3025.4	-3.3	-299.6	Root	1	3	01:08.9	1	1	1
D69353	13	6	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	40.3	111.6	11.9	0.87	4.34	3.2	532	647	870	552	6705.2	545	556	804	472	634.9	334.1	-5323.3	3025.4	-3.3	-299.6	Root	1	3	01:08.9	1	1	1
D69353	13	6	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	40.3	111.6	11.9	0.87	4.34	3.2	1515	1634	1838	1318	6707.8	929	932	1102	814	634.9	334.1	-5323.3	3025.4	-3.3	-299.6	Root	1	3	01:08.9	1	1	1
D69353	14	7	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	29.6	61.7	8.9	0.89	2.83	2.69	63104	58461	65535	43663	7808.3	48467	49057	60291	41834	688.5	279.5	-5236.1	3113.4	3.9	-211.6	Root	1	3	01:08.9	1	1	1
D69353	14	7	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	29.6	61.7	8.9	0.89	2.83	2.69	7680	8042	13245	3743	7674.3	2362	2366	2651	2143	688.5	279.5	-5236.1	3113.4	3.9	-211.6	Root	1	3	01:08.9	1	1	1
D69353	14	7	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	29.6	61.7	8.9	0.89	2.83	2.69	704	798	956	644	7711.1	539	547	913	461	688.5	279.5	-5236.1	3113.4	3.9	-211.6	Root	1	3	01:08.9	1	1	1
D69353	14	7	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	29.6	61.7	8.9	0.89	2.83	2.69	4480	5109	9012	1776	7711.1	919	922	1108	797	688.5	279.5	-5236.1	3113.4	3.9	-211.6	Root	1	3	01:08.9	1	1	1
D69353	15	8	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	20.8	28.9	6.1	0.84	2.24	1.59	53120	53067	62755	43074	7845.1	47518	48010	61015	40229	737	278.5	-5157.6	3114.8	2.4	-210.2	Root	1	3	01:08.9	1	1	1
D69353	15	8	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	20.8	28.9	6.1	0.84	2.24	1.59	2249	2360	2570	2214	7842.4	2347	2352	2632	2159	737	278.5	-5157.6	3114.8	2.4	-210.2	Root	1	3	01:08.9	1	1	1
D69353	15	8	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	20.8	28.9	6.1	0.84	2.24	1.59	512	588	647	553	7826.7	538	550	870	444	737	278.5	-5157.6	3114.8	2.4	-210.2	Root	1	3	01:08.9	1	1	1
D69353	15	8	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	20.8	28.9	6.1	0.84	2.24	1.59	768	913	996	877	7839.8	912	914	1109	772	737	278.5	-5157.6	3114.8	2.4	-210.2	Root	1	3	01:08.9	1	1	1
D69353	17	9	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	29.6	61.7	8.9	0.89	2.83	2.69	61440	59112	65535	42842	8031.5	48800	49425	61908	42064	842.5	285.5	-4986.6	3102.9	13.4	-222.1	Root	1	3	01:08.9	1	1	1
D69353	17	9	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	29.6	61.7	8.9	0.89	2.83	2.69	2560	2691	2911	2375	7989.5	2337	2340	2618	2149	842.5	285.5	-4986.6	3102.9	13.4	-222.1	Root	1	3	01:08.9	1	1	1
D69353	17	9	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	29.6	61.7	8.9	0.89	2.83	2.69	2176	2167	3336	990	7976.4	537	546	933	450	842.5	285.5	-4986.6	3102.9	13.4	-222.1	Root	1	3	01:08.9	1	1	1
D69353	17	9	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	29.6	61.7	8.9	0.89	2.83	2.69	1012	1089	1154	1012	7989.5	899	902	1114	804	842.5	285.5	-4986.6	3102.9	13.4	-222.1	Root	1	3	01:08.9	1	1	1
D69353	18	10	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	25.9	43.3	7.4	0.86	2.65	2.16	64512	60090	65535	40264	6902.2	48673	49178	61373	41610	891.6	334.9	-4907.4	3022.4	12.6	-302.6	Root	1	3	01:08.9	1	1	1
D69353	18	10	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	25.9	43.3	7.4	0.86	2.65	2.16	2483	2616	2826	2402	6960	2321	2325	2606	2130	891.6	334.9	-4907.4	3022.4	12.6	-302.6	Root	1	3	01:08.9	1	1	1
D69353	18	10	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	25.9	43.3	7.4	0.86	2.65	2.16	752	882	1006	714	6960	530	544	874	450	891.6	334.9	-4907.4	3022.4	12.6	-302.6	Root	1	3	01:08.9	1	1	1
D69353	18	10	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	25.9	43.3	7.4	0.86	2.65	2.16	849	1004	1085	924	6960	889	894	1100	803	891.6	334.9	-4907.4	3022.4	12.6	-302.6	Root	1	3	01:08.9	1	1	1
D69353	19	11	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	19.4	23.6	5.5	0.79	1.73	1.73	65243	64348	65535	57620	7711.1	48716	49388	61713	41559	935.5	284.5	-4835.9	3103.9	4.1	-221.1	Root	1	3	01:08.9	1	2	2
D69353	19	11	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	19.4	23.6	5.5	0.79	1.73	1.73	2662	2778	2967	2634	7582.4	2299	2303	2520	2132	935.5	284.5	-4835.9	3103.9	4.1	-221.1	Root	1	3	01:08.9	1	2	2
D69353	19	11	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	19.4	23.6	5.5	0.79	1.73	1.73	512	576	651	522	7619.2	528	538	808	459	935.5	284.5	-4835.9	3103.9	4.1	-221.1	Root	1	3	01:08.9	1	2	2
D69353	19	11	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	19.4	23.6	5.5	0.79	1.73	1.73	1008	1097	1161	1007	7582.4	882	885	1059	793	935.5	284.5	-4835.9	3103.9	4.1	-221.1	Root	1	3	01:08.9	1	2	2
D69353	19	12	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	17.5	21	5.2	0.86	1.63	1.61	62208	59776	65535	49484	7711.1	48716	49388	61713	41559	931.4	279.5	-4842.6	3112	-2.6	-213	Root	1	3	01:08.9	1	2	2
D69353	19	12	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	17.5	21	5.2	0.86	1.63	1.61	2475	2657	2919	2376	7582.4	2299	2303	2520	2132	931.4	279.5	-4842.6	3112	-2.6	-213	Root	1	3	01:08.9	1	2	2
D69353	19	12	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	17.5	21	5.2	0.86	1.63	1.61	512	586	642	547	7619.2	528	538	808	459	931.4	279.5	-4842.6	3112	-2.6	-213	Root	1	3	01:08.9	1	2	2
D69353	19	12	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	17.5	21	5.2	0.86	1.63	1.61	1024	1109	1169	1033	7582.4	882	885	1059	793	931.4	279.5	-4842.6	3112	-2.6	-213	Root	1	3	01:08.9	1	2	2
D69353	21	13	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	30.2	60.4	8.8	0.85	2.83	2.72	62976	59426	65535	40812	7923.8	48630	49231	61409	41113	1022.5	315.4	-4695.1	3053.3	-15.1	-271.7	Root	1	3	01:08.9	1	1	1
D69353	21	13	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	30.2	60.4	8.8	0.85	2.83	2.72	5525	5482	6442	3954	8063	2257	2261	2567	2065	1022.5	315.4	-4695.1	3053.3	-15.1	-271.7	Root	1	3	01:08.9	1	1	1
D69353	21	13	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	30.2	60.4	8.8	0.85	2.83	2.72	536	661	898	541	8063	520	533	833	420	1022.5	315.4	-4695.1	3053.3	-15.1	-271.7	Root	1	3	01:08.9	1	1	1
D69353	21	13	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	30.2	60.4	8.8	0.85	2.83	2.72	2283	2403	3108	1527	8063	867	871	1059	756	1022.5	315.4	-4695.1	3053.3	-15.1	-271.7	Root	1	3	01:08.9	1	1	1
D69353	22	14	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	32.2	68.3	9.3	0.92	3.15	2.96	60480	58520	65535	44480	8118.2	48724	49419	62046	41192	1089.7	277.9	-4585.9	3113.6	14.1	-211.4	Root	1	3	01:08.9	1	1	1
D69353	22	14	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	32.2	68.3	9.3	0.92	3.15	2.96	3891	3968	4699	2993	7973.7	2248	2249	2459	2050	1089.7	277.9	-4585.9	3113.6	14.1	-211.4	Root	1	3	01:08.9	1	1	1
D69353	22	14	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	32.2	68.3	9.3	0.92	3.15	2.96	560	749	1044	582	7973.7	517	525	778	446	1089.7	277.9	-4585.9	3113.6	14.1	-211.4	Root	1	3	01:08.9	1	1	1
D69353	22	14	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	32.2	68.3	9.3	0.92	3.15	2.96	2009	2093	2565	1426	7973.7	862	865	1026	766	1089.7	277.9	-4585.9	3113.6	14.1	-211.4	Root	1	3	01:08.9	1	1	1
D69353	25	15	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	29.3	56.5	8.5	0.89	2.76	2.71	63872	58145	65535	40698	7674.3	48717	49326	62229	40519	1225.6	314.6	-4366	3053.3	-6	-271.7	Root	1	3	01:08.9	1	1	1
D69353	25	15	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	29.3	56.5	8.5	0.89	2.76	2.71	2291	2422	2559	2245	7632.3	2221	2224	2521	2021	1225.6	314.6	-4366	3053.3	-6	-271.7	Root	1	3	01:08.9	1	1	1
D69353	25	15	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	29.3	56.5	8.5	0.89	2.76	2.71	922	1065	1355	667	7666.5	516	524	925	414	1225.6	314.6	-4366	3053.3	-6	-271.7	Root	1	3	01:08.9	1	1	1
D69353	25	15	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	29.3	56.5	8.5	0.89	2.76	2.71	768	911	963	875	7669.1	851	853	1103	758	1225.6	314.6	-4366	3053.3	-6	-271.7	Root	1	3	01:08.9	1	1	1
D69353	26	16	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	38.7	101.1	11.3	0.87	3.85	3.35	60864	57112	65535	38764	7719	48718	49334	62072	40820	1275.4	302	-4285.2	3073.4	-5.2	-251.6	Root	1	3	01:08.9	1	1	1
D69353	26	16	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	38.7	101.1	11.3	0.87	3.85	3.35	3021	3264	4241	2545	7805.7	2219	2223	2538	2065	1275.4	302	-4285.2	3073.4	-5.2	-251.6	Root	1	3	01:08.9	1	1	1
D69353	26	16	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	38.7	101.1	11.3	0.87	3.85	3.35	3021	3030	4608	1274	7792.5	518	532	891	429	1275.4	302	-4285.2	3073.4	-5.2	-251.6	Root	1	3	01:08.9	1	1	1
D69353	26	16	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	38.7	101.1	11.3	0.87	3.85	3.35	1198	1308	1527	1056	7805.7	849	854	1070	752	1275.4	302	-4285.2	3073.4	-5.2	-251.6	Root	1	3	01:08.9	1	1	1
D69353	31	17	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	29.3	59.1	8.7	0.89	2.76	2.71	61696	59350	65535	43160	7824	48817	49342	61963	41826	1522.4	301.4	-3884.8	3072.9	-4.8	-252.1	Root	1	3	01:08.9	1	1	1
D69353	31	17	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	29.3	59.1	8.7	0.89	2.76	2.71	2528	2844	4166	2207	7863.4	2194	2197	2453	2003	1522.4	301.4	-3884.8	3072.9	-4.8	-252.1	Root	1	3	01:08.9	1	1	1
D69353	31	17	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	29.3	59.1	8.7	0.89	2.76	2.71	1097	1264	1805	670	7863.4	522	533	865	447	1522.4	301.4	-3884.8	3072.9	-4.8	-252.1	Root	1	3	01:08.9	1	1	1
D69353	31	17	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	29.3	59.1	8.7	0.89	2.76	2.71	828	993	1216	811	7863.4	845	849	1038	751	1522.4	301.4	-3884.8	3072.9	-4.8	-252.1	Root	1	3	01:08.9	1	1	1
D69353	34	18	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	31.3	68.3	9.3	0.91	3.18	2.74	60160	57240	65535	40739	7734.7	48988	49422	62301	42662	1670.5	275.9	-3644.7	3113.4	-4.7	-211.6	Root	1	3	01:08.9	1	1	1
D69353	34	18	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	31.3	68.3	9.3	0.91	3.18	2.74	2310	2421	2686	2277	7834.5	2218	2219	2478	2012	1670.5	275.9	-3644.7	3113.4	-4.7	-211.6	Root	1	3	01:08.9	1	1	1
D69353	34	18	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	31.3	68.3	9.3	0.91	3.18	2.74	1052	1187	1731	664	7808.3	536	544	861	437	1670.5	275.9	-3644.7	3113.4	-4.7	-211.6	Root	1	3	01:08.9	1	1	1
D69353	34	18	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	31.3	68.3	9.3	0.91	3.18	2.74	768	905	996	830	7805.7	856	858	1045	751	1670.5	275.9	-3644.7	3113.4	-4.7	-211.6	Root	1	3	01:08.9	1	1	1
D69353	36	19	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	21.7	30.2	6.2	0.8	2.26	1.68	65237	63686	65535	55429	7656	49077	49470	61190	43215	1769.1	282.4	-3485	3102.2	-5	-222.8	Root	1	3	01:08.9	1	2	2
D69353	36	19	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	21.7	30.2	6.2	0.8	2.26	1.68	7936	8241	10486	5559	7690.1	2235	2236	2480	2031	1769.1	282.4	-3485	3102.2	-5	-222.8	Root	1	3	01:08.9	1	2	2
D69353	36	19	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	21.7	30.2	6.2	0.8	2.26	1.68	512	638	705	578	7708.5	547	554	890	459	1769.1	282.4	-3485	3102.2	-5	-222.8	Root	1	3	01:08.9	1	2	2
D69353	36	19	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	21.7	30.2	6.2	0.8	2.26	1.68	4992	5069	7592	2153	7708.5	865	868	1050	755	1769.1	282.4	-3485	3102.2	-5	-222.8	Root	1	3	01:08.9	1	2	2
D69353	36	20	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	23.1	38.1	7	0.9	2.25	2.08	63872	60890	65535	47001	7656	49077	49470	61190	43215	1768.9	275.9	-3485.2	3112.7	-5.2	-212.3	Root	1	3	01:08.9	1	2	2
D69353	36	20	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	23.1	38.1	7	0.9	2.25	2.08	6784	7450	12218	3235	7690.1	2235	2236	2480	2031	1768.9	275.9	-3485.2	3112.7	-5.2	-212.3	Root	1	3	01:08.9	1	2	2
D69353	36	20	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	23.1	38.1	7	0.9	2.25	2.08	512	689	765	587	7708.5	547	554	890	459	1768.9	275.9	-3485.2	3112.7	-5.2	-212.3	Root	1	3	01:08.9	1	2	2
D69353	36	20	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	23.1	38.1	7	0.9	2.25	2.08	3200	4323	8830	1384	7708.5	865	868	1050	755	1768.9	275.9	-3485.2	3112.7	-5.2	-212.3	Root	1	3	01:08.9	1	2	2
D69353	37	21	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	32.8	72.2	9.6	0.87	3.34	2.78	62336	57872	65535	40051	7761	49157	49472	61331	43354	1819	275.5	-3404.1	3113.2	-4.1	-211.8	Root	1	3	01:08.9	1	1	1
D69353	37	21	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	32.8	72.2	9.6	0.87	3.34	2.78	2353	2528	3188	2195	7845.1	2235	2237	2452	2065	1819	275.5	-3404.1	3113.2	-4.1	-211.8	Root	1	3	01:08.9	1	1	1
D69353	37	21	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	32.8	72.2	9.6	0.87	3.34	2.78	1298	1546	2701	630	7834.5	550	560	847	464	1819	275.5	-3404.1	3113.2	-4.1	-211.8	Root	1	3	01:08.9	1	1	1
D69353	37	21	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	32.8	72.2	9.6	0.87	3.34	2.78	823	980	1097	879	7845.1	866	871	1056	778	1819	275.5	-3404.1	3113.2	-4.1	-211.8	Root	1	3	01:08.9	1	1	1
D69353	41	22	-1	-1	OEP	Main	9	3h Fucci FITC Imaging	FALSE	30.5	63	9	0.85	2.81	2.8	65152	58290	65535	43298	7818.8	48759	48853	53091	44800	55.5	281.6	-3086	3113.6	-6	-211.4	Root	1	3	01:08.9	1	1	1
D69353	41	22	-1	-1	TRED	Main	9	3h Fucci FITC Imaging	FALSE	30.5	63	9	0.85	2.81	2.8	3328	3472	4142	2792	8013.1	2501	2505	2783	2294	55.5	281.6	-3086	3113.6	-6	-211.4	Root	1	3	01:08.9	1	1	1
D69353	41	22	-1	-1	FITC	Main	9	3h Fucci FITC Imaging	FALSE	30.5	63	9	0.85	2.81	2.8	1664	1820	2619	945	8015.8	523	530	721	437	55.5	281.6	-3086	3113.6	-6	-211.4	Root	1	3	01:08.9	1	1	1
D69353	41	22	-1	-1	PE	Main	9	3h Fucci FITC Imaging	FALSE	30.5	63	9	0.85	2.81	2.8	1664	1850	2346	1361	8010.5	1072	1072	1226	932	55.5	281.6	-3086	3113.6	-6	-211.4	Root	1	3	01:08.9	1	1	1
D69353	42	23	-1	-1	OEP	Main	9	3h Fucci FITC Imaging	FALSE	32.6	73.5	9.7	0.9	3.52	2.65	58240	56681	65535	42023	6271.8	48578	48759	53489	44184	110.5	343.4	-2997.2	3013.2	2.8	-311.8	Root	1	3	01:08.9	1	1	1
D69353	42	23	-1	-1	TRED	Main	9	3h Fucci FITC Imaging	FALSE	32.6	73.5	9.7	0.9	3.52	2.65	2502	2582	2786	2467	6169.4	2481	2483	2703	2276	110.5	343.4	-2997.2	3013.2	2.8	-311.8	Root	1	3	01:08.9	1	1	1
D69353	42	23	-1	-1	FITC	Main	9	3h Fucci FITC Imaging	FALSE	32.6	73.5	9.7	0.9	3.52	2.65	555	705	894	586	6206.2	525	531	799	407	110.5	343.4	-2997.2	3013.2	2.8	-311.8	Root	1	3	01:08.9	1	1	1
