DeviceId	PenId	TargetIndex	TrackingId	TrackingIdPerPen	Cube	Objective	View	Label	IsSelected	PerimeterMicrons	AreaMicrons	DiameterMicrons	Circularity	MajorAxisMicrons	MinorAxisMicrons	MedianBrightness	MeanBrightness	MaxBrightness	MinBrightness	BackgroundAreaMicrons	MedianBackgroundBrightness	MeanBackgroundBrightness	MaxBackgroundBrightness	MinBackgroundBrightness	CentroidXPixels	CentroidYPixels	CentroidXMicrons	CentroidYMicrons	CentroidXMicronsPenRelative	CentroidYMicronsPenRelative	GatePath	FluidChannelNumber	TimeLapseIndex	Timestamp	CellCount	CellsInPen	TargetsInPen
D69353	4	0	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	34.1	85.4	10.4	0.92	3.38	3.1	56192	54362	65535	37959	7761	48472	48667	53719	43919	195.1	292.9	-6036.8	3093.7	3.2	-231.3	Root	1	4	01:10.9	1	1	1
D69353	4	0	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	34.1	85.4	10.4	0.92	3.38	3.1	2550	2738	3316	2362	7763.6	2407	2410	2704	2157	195.1	292.9	-6036.8	3093.7	3.2	-231.3	Root	1	4	01:10.9	1	1	1
D69353	4	0	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	34.1	85.4	10.4	0.92	3.38	3.1	1408	1619	2678	814	7763.6	546	552	705	469	195.1	292.9	-6036.8	3093.7	3.2	-231.3	Root	1	4	01:10.9	1	1	1
D69353	4	0	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	34.1	85.4	10.4	0.92	3.38	3.1	1015	1112	1299	968	7763.6	1010	1012	1166	900	195.1	292.9	-6036.8	3093.7	3.2	-231.3	Root	1	4	01:10.9	1	1	1
D69353	5	1	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	22.7	32.8	6.5	0.87	2.29	1.91	54784	56501	65535	45667	7895	48648	48934	55195	44117	238.2	299	-5967	3083.5	-7	-241.5	Root	1	4	01:10.9	1	1	1
D69353	5	1	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	22.7	32.8	6.5	0.87	2.29	1.91	2503	2624	2740	2401	7944.9	2402	2405	2652	2202	238.2	299	-5967	3083.5	-7	-241.5	Root	1	4	01:10.9	1	1	1
D69353	5	1	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	22.7	32.8	6.5	0.87	2.29	1.91	512	573	628	532	7947.5	547	552	685	473	238.2	299	-5967	3083.5	-7	-241.5	Root	1	4	01:10.9	1	1	1
D69353	5	1	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	22.7	32.8	6.5	0.87	2.29	1.91	1013	1112	1234	1023	7944.9	999	1001	1167	872	238.2	299	-5967	3083.5	-7	-241.5	Root	1	4	01:10.9	1	1	1
D69353	10	2	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	25.4	47.3	7.8	0.92	2.67	2.16	64960	60319	65535	46879	7472.1	48747	49231	58535	43560	492	297.5	-5555.6	3084.4	4.4	-240.6	Root	1	4	01:10.9	1	2	2
D69353	10	2	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	25.4	47.3	7.8	0.92	2.67	2.16	7744	7928	10531	4510	7532.5	2365	2373	2635	2184	492	297.5	-5555.6	3084.4	4.4	-240.6	Root	1	4	01:10.9	1	2	2
D69353	10	2	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	25.4	47.3	7.8	0.92	2.67	2.16	512	674	767	590	7569.3	548	555	747	476	492	297.5	-5555.6	3084.4	4.4	-240.6	Root	1	4	01:10.9	1	2	2
D69353	10	2	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	25.4	47.3	7.8	0.92	2.67	2.16	5547	5540	7098	3208	7532.5	949	953	1104	859	492	297.5	-5555.6	3084.4	4.4	-240.6	Root	1	4	01:10.9	1	2	2
D69353	10	3	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	27	47.3	7.8	0.84	2.71	2.24	65152	60107	65535	43409	7472.1	48747	49231	58535	43560	485.3	304	-5566.5	3073.9	-6.5	-251.1	Root	1	4	01:10.9	1	2	2
D69353	10	3	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	27	47.3	7.8	0.84	2.71	2.24	7424	7739	11588	4434	7532.5	2365	2373	2635	2184	485.3	304	-5566.5	3073.9	-6.5	-251.1	Root	1	4	01:10.9	1	2	2
D69353	10	3	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	27	47.3	7.8	0.84	2.71	2.24	519	663	772	543	7569.3	548	555	747	476	485.3	304	-5566.5	3073.9	-6.5	-251.1	Root	1	4	01:10.9	1	2	2
D69353	10	3	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	27	47.3	7.8	0.84	2.71	2.24	4352	4532	7313	2274	7532.5	949	953	1104	859	485.3	304	-5566.5	3073.9	-6.5	-251.1	Root	1	4	01:10.9	1	2	2
