DeviceId	PenId	TargetIndex	TrackingId	TrackingIdPerPen	Cube	Objective	View	Label	IsSelected	PerimeterMicrons	AreaMicrons	DiameterMicrons	Circularity	MajorAxisMicrons	MinorAxisMicrons	MedianBrightness	MeanBrightness	MaxBrightness	MinBrightness	BackgroundAreaMicrons	MedianBackgroundBrightness	MeanBackgroundBrightness	MaxBackgroundBrightness	MinBackgroundBrightness	CentroidXPixels	CentroidYPixels	CentroidXMicrons	CentroidYMicrons	CentroidXMicronsPenRelative	CentroidYMicronsPenRelative	GatePath	FluidChannelNumber	TimeLapseIndex	Timestamp	CellCount	CellsInPen	TargetsInPen
D69353	4	0	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	25.9	42	7.3	0.79	2.31	2.31	65180	59517	65535	41460	7742.6	48406	48611	53763	43935	195	304	-6036.5	3075.5	3.5	-249.5	Root	1	5	01:10.3	1	2	2
D69353	4	0	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	25.9	42	7.3	0.79	2.31	2.31	2893	3107	3666	2726	7724.2	2416	2420	2740	2143	195	304	-6036.5	3075.5	3.5	-249.5	Root	1	5	01:10.3	1	2	2
D69353	4	0	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	25.9	42	7.3	0.79	2.31	2.31	512	598	694	518	7721.6	526	532	684	453	195	304	-6036.5	3075.5	3.5	-249.5	Root	1	5	01:10.3	1	2	2
D69353	4	0	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	25.9	42	7.3	0.79	2.31	2.31	1262	1364	1635	1139	7724.2	1005	1007	1149	904	195	304	-6036.5	3075.5	3.5	-249.5	Root	1	5	01:10.3	1	2	2
D69353	4	1	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	27	47.3	7.8	0.84	2.73	2.22	65165	60585	65535	42298	7742.6	48406	48611	53763	43935	201.6	298.9	-6025.9	3083.8	14.1	-241.2	Root	1	5	01:10.3	1	2	2
D69353	4	1	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	27	47.3	7.8	0.84	2.73	2.22	3072	3180	3519	2670	7724.2	2416	2420	2740	2143	201.6	298.9	-6025.9	3083.8	14.1	-241.2	Root	1	5	01:10.3	1	2	2
D69353	4	1	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	27	47.3	7.8	0.84	2.73	2.22	512	687	763	620	7721.6	526	532	684	453	201.6	298.9	-6025.9	3083.8	14.1	-241.2	Root	1	5	01:10.3	1	2	2
D69353	4	1	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	27	47.3	7.8	0.84	2.73	2.22	1296	1417	1636	1210	7724.2	1005	1007	1149	904	201.6	298.9	-6025.9	3083.8	14.1	-241.2	Root	1	5	01:10.3	1	2	2
D69353	5	2	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	26	38.1	7	0.88	2.95	1.97	51456	54199	64395	48593	7895	48633	48911	54731	44046	238.6	298.6	-5965.9	3084.1	-5.9	-240.9	Root	1	5	01:10.3	1	1	1
D69353	5	2	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	26	38.1	7	0.88	2.95	1.97	2470	2582	2766	2336	7887.1	2411	2414	2717	2134	238.6	298.6	-5965.9	3084.1	-5.9	-240.9	Root	1	5	01:10.3	1	1	1
D69353	5	2	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	26	38.1	7	0.88	2.95	1.97	459	536	639	482	7921.2	526	532	673	458	238.6	298.6	-5965.9	3084.1	-5.9	-240.9	Root	1	5	01:10.3	1	1	1
D69353	5	2	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	26	38.1	7	0.88	2.95	1.97	1007	1120	1228	1016	7918.6	992	995	1148	890	238.6	298.6	-5965.9	3084.1	-5.9	-240.9	Root	1	5	01:10.3	1	1	1
